timestamp	commit	bss	bs	status	description
2026-05-08 23:05:16	75c0a48	0.521131	0.245127	baseline	Baseline: Whale-Base Logistic Regression
2026-05-08 23:06:18	75c0a48	0.521131	0.245127	baseline	experiment
2026-05-08 23:28:27	75c0a48	0.522837	0.244254	keep	PolynomialFeatures degree 2 plus LogisticRegression C=0.1
2026-05-08 23:28:44	8cb8170	0.727548	0.139465	keep	RobustScaler plus LogisticRegression C=1.0
2026-05-08 23:28:57	9b755d8	0.841753	0.081005	keep	QuantileTransformer normal plus LogisticRegression C=1.0
2026-05-08 23:29:27	8076449	0.841767	0.080998	keep	HistGradientBoosting max_iter 200 lr 0.03 leaf 31 l2 0.1
2026-05-08 23:29:45	5e853dd	0.841773	0.080995	keep	RandomForest 200 trees depth 5 min leaf 100 all features
2026-05-08 23:30:01	0fa7540	0.519326	0.246051	discard	Class-balanced LogisticRegression C=0.3
2026-05-08 23:30:20	0fa7540	0.841729	0.081017	discard	HistGradientBoosting depth 3 leaf 15 lr 0.04
2026-05-08 23:30:42	0fa7540	0.841498	0.081135	discard	GradientBoosting 150 estimators depth 2 subsample 0.8
2026-05-08 23:30:56	0fa7540	0.518605	0.246420	discard	ExtraTrees 250 trees depth 5 min leaf 100 all features
2026-05-08 23:31:13	0fa7540	0.812537	0.095960	discard	QuantileTransformer normal plus GaussianNB
2026-05-11 13:13:16	855bcd8	0.842011	0.080873	keep	Feature engineering compact ratios interactions plus shallow RandomForest
2026-05-11 13:13:28	855bcd8	0.841964	0.080897	discard	Feature engineering full squares crosses plus shallow RandomForest
2026-05-11 13:13:41	855bcd8	0.841966	0.080896	discard	Feature engineering dense transforms plus shallow RandomForest
2026-05-11 13:13:52	855bcd8	0.841914	0.080923	discard	Full engineered features with RandomForest depth 4 leaf 50
2026-05-11 13:14:04	855bcd8	0.841911	0.080924	discard	Full engineered features with RandomForest depth 6 leaf 150
2026-05-11 13:14:29	855bcd8	0.898122	0.052150	keep	Causal rolling lag features plus compact engineered RandomForest
2026-05-11 13:14:52	855bcd8	0.896935	0.052758	discard	Causal rolling lag features RandomForest depth 4 leaf 75
2026-05-11 13:15:03	855bcd8	0.841412	0.081179	discard	Full engineered features with HistGradientBoosting
2026-05-11 13:15:12	855bcd8	0.841717	0.081023	discard	Dense engineered features with regularized HistGradientBoosting
2026-05-11 13:15:22	855bcd8	0.832408	0.085788	discard	Full engineered features with ExtraTrees
2026-05-11 13:15:51	855bcd8	0.840979	0.081401	discard	Full engineered features with GradientBoosting
2026-05-11 13:15:59	855bcd8	0.841758	0.081002	discard	Compact engineered features with Quantile LogisticRegression
2026-05-11 13:16:08	855bcd8	0.512925	0.249328	discard	Compact engineered features with polynomial robust LogisticRegression
